object-id,filename,title_full,title,date,conference_dates,description,guest_author,guest_artist,guest_scientist,guest_fan,committee,cover_artist,inside_cover_artist,back_artist,badge_artist,button_artist,creator,guests_of_honor,program_artists,feature_subjects,subject,identifier,location,digital_collection,contributing_institution,rights,standardized_rights,format_original,type,format,language
moscon12-1990_000,MosCon12-1990_000.pdf,"MosCon 12, September 14-16, 1990",MosCon 12,1990,September 14-16,"A program book for the 12th Moscon in 1990. Guests of Honor: C.J. Cherryh, Reed Waller, Cliff Samuels, Tim Gerlitz, Jane Fancher, Kate Worley, Vladimir Gakov.",C.J. Cherryh; Jane Fancher; Vladimir Gakov,Reed Waller; Kate Worley,Tim Gerlitz,Cliff Samuels,"Chair: Debi Robinson-Smith; Vice-Chair: Donna Baillly; Treasurer: Teresa Franco; Program lemming: Betty Smith; Operations: Jean Crawford; Art Show: Roderick Sprague; Dealers: Lou Anne Lomax; Memberships: Jim & Helen Hill; Hospitality: Kathryn Sprague; Volunteers and Gophers: Bob Barnes; Masquerade: Beth Finkbiner; Security: Eric Wegner & Eric Nilsson; Dances: Gretchen Johns; Trivia Bee: M.J. Engh; Artist's Workshop: Jim Hill; Advertising: Bob Barnes; Program Book, PRs, Hotel Liaison: Jon Gustafson.",Reed Waller,Gary Davis,Randy Mohr,,,"Moscow Science Fiction Conventions, Inc.",C.J. Cherryh; Jane Fancher; Vladimir Gakov; Reed Waller; Kate Worley; Tim Gerlitz; Cliff Samuels,Reed Waller; Gary Davis; Randy Mohr,,science fiction; authors; artists,MosCon12-1990_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon13-1991_000,MosCon13-1991_000.pdf,"MosCon XIII, September 20-22, 1991",MosCon XIII,1991,September 20-22,"A program book for the 13th Moscon in 1991. Guests of Honor: Tim Powers, Julia Lacquement-Kerr, Dragon, Dr. Roger Fouts.",Tim Powers,Julia Lacquement-Kerr,Roger Fouts,Dragon,Chairman: Bob Barnes; Vice-Chair: Donna Tingle; Treasurer: donna Tingle; Auditor: Beth Finkbiner; Membership: Donna Bailly; Operations: Jean Crawford; Registration: Debbie Miller; Volunteers: Charlie Bates; Security: Jefferson Slack; Art Show: Vicki Mitchell; Hospitality Setup: Mark Kilbreath & Shirley Palmer; Hospitality at Con: Debi Robinson-Smith; Dealer's Room: Lou Anne Lomax; Hotel Liaison: Kathy Sprague & Bob Barnes; Programming: Betty Smith; Masquerade: Lin Goss; Dances: Jill & Tallah Foster; Writer's Workshop: Vicki Mitchell; Trivia Quiz: Lisa Satterlund; Video Room: Jim & Helen Hill; Services: Jon Gustafson; Program Book: Jon Gustafson; Program Book Assistants: J.C. & Barb Hendee; PR's & Flyers: Jon Gustafson; Slave Artist: Ariana Burns; Technicia: Sherri Kopel.,Julia Lacquement-Kerr,Gary Davis,Gary Davis,,,"Moscow Science Fiction Conventions, Inc.",Tim Powers; Julia Lacquement-Kerr; Roger Fouts; Dragon,Julia Lacquement-Kerr; Gary Davis; Gary Davis,,science fiction; authors; artists,MosCon13-1991_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon14-1992_000,MosCon14-1992_000.pdf,"MosCon XIV, September 11-13, 1992",MosCon XIV,1992,September 11-13,A program book for the 14th Moscon in 1992. Co-Author Guest of Honor: M.J. Engh & V.E. Mitchell; Artist Guest of Honor: Armand Cabrera; Fan Guest of Honor: Al Betz (Mr. Science); Scientist Guest of Honor: Dr. Leo K. Bustad.,M.J. Engh; V.E. Mitchell,Armand Cabrera,Leo K. Bustad,Al Betz (Mr. Science),"Chairman- John Porter; Vice-Chairman: Mike Finkbiner; Treasurer: Beth Finkbiner; Operations: Charles Jones; Programming: Janice Willard; Programming Assistant: Patricia Dimmitt; Registration: Debbie & Rosella Miller; Membership: Bea Taylor; Volunteers: Charlie Bales; Art Show: Donna Bailly; Dealer's Room: Lou Anne Lomax; Masquerade: Lin Goss; Dances: Jean Crawford; Advance Publicity: Jill Foster; Hospitality: Blue Mountain Shire, SCA; Gaming: John Hunter; Publications: Jon Gustafson",Armand Cabrera,Clude Duensing,Gary Davis,,,"Moscow Science Fiction Conventions, Inc.",M.J. Engh; V.E. Mitchell; Armand Cabrera; Leo K. Bustad; Al Betz (Mr. Science),Armand Cabrera; Clude Duensing; Gary Davis,,science fiction; authors; artists,MosCon14-1992_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon15-1993_000,MosCon15-1993_000.pdf,"MosCon XV, September 17-19, 1993",MosCon XV,1993,September 17-19,A program book for the 15th Moscon in 1993. Author Guest of Honor: Barbara Hambly; Artist Guest of Honor: David Martin; Fan Guest of Honor: Steve Fahnestalk; Scientist Guest of Honor: Dr. Victor R. Baker.,Barbara Hambly,David Martin,Victor R. Baker,Steve Fahnestalk,"Chairman: Donna Bailly; Vice-Chair: Jean Crawford; Treasurer: Vicki Mitchell; Membership- Bea Taylor; Registration= Debbie Miller & Rosella Miller; Programming: Janice Willard; Operations- Annika Laurea-Wood; Security: Andrew Morris; Gophers: Charli Bales; Art Show: Liz and Austin Wilmerding; Hotel Liaison: Mike Finkbiner; Hospitality: Jeff Slack; Dealers: Lou Anne Lomax; Masquerade: Lisa Satterlund; Dance: Rod Sprage; Video room: Barry Fletcher; Japanime: Scott and Andrew LaRoy; Writer's Workshop: Mary Jane Engh; Advertising, Publications: Jon Gustafson.",David Martin,,,,,"Moscow Science Fiction Conventions, Inc.",Barbara Hambly; David Martin; Victor R. Baker; Steve Fahnestalk,David Martin,,science fiction; authors; artists,MosCon15-1993_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon16-1994_000,MosCon16-1994_000.pdf,"MosCon XVI, September 14-16, 1994",MosCon XVI,1994,September 14-16,"A program book for the 16th Moscon in 1994. Author Guest of Honor: Roger Zelazny; Artist Guest of Honor: Gary Davis; Fan Guests of Honor: Tam and Shelly Gordy; Scientist Guest of Honor: Dr. Gregory Benford. Art Credits: Gary Davis- inside front cover, 5, 6, 32, 34, 37, 43, back cover; George Barr- 14, 24, 26, 39, 41.",Roger Zelazny,Gary Davis,Gregory Benford,Tam Gordy; Shelly Gordy,"Chairman: John Porter; Vice-Chairman: Austin Wilmerding; Treasurer: Vicki Mitchell; Programming: Liz Wilmerding; Art Show: Rodering Sprague IV, June and Allen Westenbarger; Membership: Bob Barnes; Registration: Kathy Esvelt; Hospitality: Donna Bailly; Operations: Scotty Evans; Volunteers: Charlie Bailes; Masquerade: Cindy Gropp; Dane: Kathy Esvelt; Videos: Jean Crawford; Hotel Liaison: Mike Finkbiner; Dealer's Room: Lou Anne Lomax; Writer's Workshop: Mary Jane Engh; PR/ Publicity: Cindy Gropp; Program Book: Jon Gustafson.",Gary Davis,Gary Davis,Gary Davis,,,"Moscow Science Fiction Conventions, Inc.",Roger Zelazny; Gary Davis; Gregory Benford; Tam Gordy; Shelly Gordy,Gary Davis; Gary Davis; Gary Davis,,science fiction; authors; artists,MosCon16-1994_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon17-1995_000,MosCon17-1995_000.pdf,"Moscon XVII, September 15-17, 1995",Moscon XVII,1995,September 15-17,"A program book for the 17th Moscon in 1995. Author Guest of Honor: Mel Gilden; Artist Guest of Honor: Phil Folgio; Scientist Guest of Honor: Dr. James C. Glass. . Art Credits: Alicia Austin- 2, 4, 25, 29, 43; Gary Davis- inside front cover; Phil Foglio- 5; Julia Lacquement- 27, 30, 34, 46; Monika Livingston- 2; Ross Mathis- 4, 14, 26, 33, 36, 40, 46, 47; Randy Mohr- inside back cover.",Mel Gilden,Phil Folgio,James C. Glass,,"Chair: Donna Bailly; Vice Chair: Lou Anne Lomax; Treasurer: Vicki Mitchell; Operations: Mike Finkbiner; Security: Austin Wilmerding; Hospitality: Charlie Bales; Registration: Vicki Mitchell, Ruth Home; Membership: Vicki Mitchell; Programming: Liz Wilmerding, Susan Meyer; Art Show: June and Allen Westernbarger; Hotel Liaison: Donna Bailly; Dealers: Lou Anne Lomax; Masquerade: Lisa Satterlund; Dances: Donna Bailly; Japanime: Scott and Andrew LaRoy; Advertising: Jon Gustafson; Program/Souvenir Book: Jon Gustafson, Fat Puppy Press.",Phil Foglio,Gary Davis,,,,"Moscow Science Fiction Conventions, Inc.",Mel Gilden; Phil Folgio; James C. Glass,Phil Foglio; Gary Davis,,science fiction; authors; artists,MosCon17-1995_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon18-1996_000,MosCon18-1996_000.pdf,"MosCon XVIII, September 13-15, 1996",MosCon XVIII,1996,September 13-15,"A program book for the 18th Moscon in 1996. Author Guest: David M. Weber; Scientist Guest: Dr. John Shovic; Fan Guests: Norma Barrett-Lincoln & Edgar Lincoln. Art Credits: George Barr- 21, back cover; Kev Brockschmidt- 11, 15; Lynne Taylor Fahnestalk- 9, 20, 23; Julia Lacquement- Inside front cover; Andrew LaRoy- 4, 18.",David M. Weber,,John Shovic,Norma Barrett-Lincoln; Edgar Lincoln,"Chair: Austin Wilmerding; Vice Chair & Operations: Mike Finkbiner; Treasurer & Membership: Donna Bailly; Hotel Liaison & Dances: Mike Borden; Dealers, Programming, & Program Book Advertising: Liz Wilmerding; Game Czar: Mark Rounds; Publicity & Advertising: Susan Meyer; Art Show, Print Shop, & Hall Costume Contest: Bobbie Grende & Yvonne Bowhay; Program Book: Lou Anne Lomax; Security: Alan Randall; Hospitality: C.K. Bales; Registration Coordinator: Ruth Horne; Writer's Workshop: M.J. Engh; Masquerade & TV Commercial: Cindy Curry.",Kev Brockschmidt,Julia Lacquement,George Barr,Julie Lacquement,Ruth Horne,"Moscow Science Fiction Conventions, Inc.",David M. Weber; John Shovic; Norma Barrett-Lincoln; Edgar Lincoln,Kev Brockschmidt; Julia Lacquement; George Barr; Julie Lacquement; Ruth Horne,,science fiction; authors; artists,MosCon18-1996_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon19-1997_000,MosCon19-1997_000.pdf,"MosCon XIX, September 12-14, 1997",MosCon XIX,1997,September 12-14,A program book for the 19th Moscon in 1997. Author Guest: Larry Niven; Artist Guest; Rick Sternbach; Science Guest: Poul Anderson; Fan Guests: David & Betty Bigelow; Filk Guest: Karen Kruse Anderson.,Larry Niven,Rick Sternbach,Poul Anderson,David Bigelow; Betty Bigelow; Karen Kruse Anderson,"Art Show: Holly J. Bauer, Jon Gustafson, Beth Miller; Author Readings: Bea Taylor; Badges & Buttons: Jon Gustafson; Chairman: Susan Meyer; Dance: Mike Borden, Susan Meyer; Dealers' Room: Pia Hooks; Fare Games: Mark Rounds; Filk: Liz Wilmerding, Jean Crawford; Fundraising: Jon Gustafson, Lou Anne Lomax; Gaming: Mark Rounds; Hospitality: Charlie Bales, Diana Statt; Hotel Liaison: Mike Borden, Susan Meyer; Information Booth: Lou Anne Lomax; Japanieme: Andrew LaRoy; Marketing (Publicity/PR): Susan Meyer, Cindy Curry; Masquerade: Liz Borden; Membership: Donna Bailly; MosCon 18 Liaisons: Liz & Austin Wilmerding; Operations: Dave Hooks; Print Shop: Phrannque Sciamanda; PR1-2: Phrannque Sciamanda, Lou Anne Lomax; Program Book: Phrannque Sciamanda, Lou Anne Lomax, Keith Farmer; Programming: Sara Pogue, Andi Finnegan, Scott Janke; Registration: Rod Sprague, Debbie Miller; Secretary: Lou Anne Lomax; Security: Mark Rounds, Bill Cooper; Treasurer: Austin Wilmerding; Video Room: Bruce Mobarry; Volunteers: Kurt Smith; Webmaster: Keith Farmer, Scotty Evans, Jeff Slack; Writers Workshop: Vicki Mitchell.",Rick Sternbach,,,Julia Lacquement,Monika Livingstone,"Moscow Science Fiction Conventions, Inc.",Larry Niven; Rick Sternbach; Poul Anderson; David Bigelow; Betty Bigelow; Karen Kruse Anderson,Rick Sternbach; Julia Lacquement; Monika Livingstone,,science fiction; authors; artists,MosCon19-1997_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon20-1998_000,MosCon20-1998_000.pdf,"MosCon XX, September 18-20, 1998",MosCon XX,1998,September 18-20,A program book for the 20th Moscon in 1998. Author Guests: Kevin J. & Rebecca Moesta Anderson; Artist Guest: Mark Ferrari; Scientist Guest: Dr. Steven howe; Fan Guests: Daron & Deborah Fredericks.,Kevin J. Anderson; Rebecca Moesta Anderson,Mark Ferrari,Steven Howe,Daron Fredericks; Deborah Fredericks,"Chairperson: Lou Anne Lomax; Vice Chair: Susan Meyer; Advertising: Jon Gustafson; Art Show: Holly Bauer; Author Readings: M.J. Engh; Dealers' Room: Bobbie Grende, Michael & Yvonne Bowhay; Gaming Czar: Mark Rounds; Hospitality: Charlie Bales, Diana Statt; Hotel Liaison: Susan Meyer; Membership: Rod Sprague; MosCon 19 Liaison: Susan Meyer; Operations: Dave Hooks; Program Book/ PRs 1 & 2: Phrannque Sciamanda, Keith Farmer; Souvenir/ History Book (CD): Jon Gustafson; Programming: M.J. Engh, Vicki Mitchell; Registration: Dan Fears; Secretary: Bill Cooper; Treasurer/ (Board): Phrannque Sciamanda; Video Room: Amy Twitchell, Wesley Twitchell; Volunteers: Mark Adams; Webmaster: Keith Farmer; Writer's Workshop: Vicki Mitchell",Mark Ferrari,,Dixie L. Walker,Monika Livingstone,Monika Livingstone,"Moscow Science Fiction Conventions, Inc.",Kevin J. Anderson; Rebecca Moesta Anderson; Mark Ferrari; Steven Howe; Daron Fredericks; Deborah Fredericks,Mark Ferrari; Dixie L. Walker; Monika Livingstone; Monika Livingstone,,science fiction; authors; artists,MosCon20-1998_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon21-1999_000,MosCon21-1999_000.pdf,"MosCon XXI, September 10-12, 1999",MosCon XXI,1999,September 10-12,"A program book for the 21st Moscon in 1999. Author Guests: James P. Hogan & Tara K. Harper; Artist Guest: William R. Warren, Jr.; Scientist Guest: Dr. Robert Ackerman; Fan Guests: Dan & Theresa Fears.",James P. Hogan; Tara K. Harper,"William R. Warren, Jr.",Robert Ackerman,Dan Fears; Theresa Fears,"Chairperson: Mark Rounds; Vice Chair: Dave Hooks, Lou Anne Lomax; Advertising: Jon Gustafson; Anime & Anime-Themed Gaming: Kathe Goslee; Art Show: Holly Bauer; Bookkeeper: Austin Wilmerding; Computers: Cara Plata; Dealers' Room: Holly Bauer; Gaming Czars: Rick Ingram, Charles Schweigert; Hospitality: Charlie Bales, Diana Statt; Hotel Liaison: Susan Meyer, Mark Rounds; Membership: Liz Wilmerding; Moscon 20 Liaison: Lou Anne Lomax; Operations: Dave Hooks; Program Book/ PR1: Phrannque Sciamanda, Lou Anne Lomax; Programming & Pocket Program: Bill Cooper; Publicity: Jon Gustafson; Registrations: AmyTwitchell; Security: Rob Trousdale; Treasurer/ (Board): Holly Bauer; Video Room: Wesley Twitchell; Volunteers: Mark Adams; Webmaster: Keith Farmer; Writer's Workshop: Vicki Mitchell.","William R. Warren, Jr.",Jacqualynn D. Duram Nilsson,Diane Harlan Stein,Randy Mohr,Holly Bauer,"Moscow Science Fiction Conventions, Inc.","James P. Hogan; Tara K. Harper; William R. Warren, Jr.; Robert Ackerman; Dan Fears; Theresa Fears","William R. Warren, Jr.; Jacqualynn D. Duram Nilsson; Diane Harlan Stein; Randy Mohr; Holly Bauer",,science fiction; authors; artists,MosCon21-1999_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon22-2000_000,MosCon22-2000_000.pdf,"MosCon XXII, August 25-27, 2000",MosCon XXII,2000,August 25-27,A program book for the 22nd Moscon in 2000. Author guest: Frank M. Robinson; Artist Guest; Donna Barr; Scientist guest; Dr. Thor Osborn; Special guest; Julia Lacquement; Fan guest; Tim Hammell.,Frank M. Robinson,Donna Barr; Julia Lacquement,Thor Osborn,Tim Hammell,"Chair: Jon Gustafon; Vice Chair, PR2: Lou Anne Lomax; Anime & Anime-Themed Gaming: Kathee Goslee; Art Show: Diana Statt; Author Readings: M.J. Engh; Bookkeeper: Beth Miller; Computers: Cara Plata; Dealers' Room: Vicki Mitchell; Gaming Czar: Mark Adams; Hospitality: Charlie Bales, Robert Kwiss; Hotel Liaison: Jon Gustafson; Membership, Webmaster: Jim Mueller; Operations: Roger Burns; Pocket Program & Publicity: Jon Gustafson; PR1: Susan Meyer; Program Book: Phrannque Sciamanda; Programming: Paula Mueller; Registration: Amy Twitchell; Security: Rick Sewell, Ed Lund, Steven Gregory; Video Room: Amy & Bryan Twitchell; Writer's Workshop: Vicki Mitchell",Donna Barr,,,George Barr,,"Moscow Science Fiction Conventions, Inc.",Frank M. Robinson; Donna Barr; Julia Lacquement; Thor Osborn; Tim Hammell,Donna Barr; George Barr,,science fiction; authors; artists,MosCon22-2000_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon23-2001_000,MosCon23-2001_000.pdf,"MosCon XXIII, August 24-26, 2001",MosCon XXIII,2001,August 24-26,"A program book for the 23rd Moscon in 2001. Guests of Honor: Jack L. Chalker, Betsy Mott, Tristan MacAvery, Tam and Shelly Gordy. In Memoriam of Rebecca Jeanne Fallis. Other Professional Guests: Betty Bigelow, Dave Bigelow, Eileen Brady, Kevin ""Kev"" Brockschmidt, Algis Budrys, F.M Busby, John Dalmas, M.J. Engh, James C. Glass, Jon Gustafson, V.E. Mitchell.",Jack L. Chalker,Betsy Mott; Tristan MacAvery,,Tam Gordy; Shelly Gordy,"Chairperson: Charlie Bales; Vice Chir: Mark Rounds, Lou Anne Lomax; Anime & Anime-Themed Gaming: Kathe Goslee; Art Show: Jon Gustafson, Lou Anne Lomax; Author Readings: MJ Engh; Compuers: Cara Plata; Dealers' Room: Vicki Mitchell; Gaming Czar: Troy Fisher; Hospitality: Patty Shepard, Matt Gaier; Hotel Liaison: Jon Gustafson; Masquerade: Theresa Gears, Linda Cronquist; Membership: Amy Twitchell; Operations: Jon Gustafson; Program Book: Phrannque Sciamanda, Lou Anne Lomax; Programming: paula Mueller; Publicity: Tamara Owens, Bea Taylor; Registration: Amy Twitchell; Security: Kurt Smith; Treasurer: Beth Miller, Vicki Mitchell; Webmaster: Jim Mueller; Writer's Workhop: Vicki Mitchell",Betsy Mott,,David Lee Anderson,Betsy Mott,,"Moscow Science Fiction Conventions, Inc.",Jack L. Chalker; Betsy Mott; Tristan MacAvery; Tam Gordy; Shelly Gordy,Betsy Mott; David Lee Anderson; Betsy Mott,,science fiction; authors; artists,MosCon23-2001_000,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Print program booklet,text,application/pdf,eng
moscon07-1985_001,moscon07-1985_001.jpg,1985 Team MosCon Headband,1985 Team MosCon Headband,1985,September 20-22,"A red and white cloth headband that reads ""Team MosCon"" in English and ""Cold Water Patrol"" in Japanese. From the MosCon VII (1985) booklet, p. 15: ""Overflowing as we are with new and innovative ideas, we actually accomplished one this year. Instead of the standard t-shirt or towel, we have, in limited supply, Team MosCon headbands. We chose headbands in part to provide our membership with a handy place to attach their nametags while in the jacuzzi, and also as a  method of identifying the Con-com. (Ours are blue.) The idea was inspired by the film, Buckaroo Banzai. The Team MosCon logo was designed by Jacqualynn Duram and the Japanese was caligraphed by Ellen Thisted. The Japanese is pronounced, ""Tsumetai mizu patororu-tai"" and means ""Cold Water Patrol."" Get one quick. There will be a limited number of them for sale at the registration table.""",,,,,,,,,,,Jacqualynn Duram; Ellen Thisted,,,clothing; souvenirs; Buckaroo Banzai; Jacuzzi Party,science fiction; authors; artists,headband,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Cloth headband,image,image/jpg,eng
moscon01-1979_001,moscon01-1979_001.jpg,MosCon I T-Shirt,MosCon I T-Shirt,1979,September 29-30,"The official MosCon I shirt, featuring an image of a man shooting a laser gun.",,,,,,,,,,,George Barr,,,clothing; souvenirs; illustrations; MosCon III,science fiction; authors; artists,shirt-moscon-I,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Cloth t-shirt,image,image/jpg,eng
moscon03-1981_001,moscon03-1981_001.jpg,MosCon III T-Shirt,MosCon III T-Shirt,1981,September 25-27,"The official MosCon III shirt, featuring an image of two astronauts in a spaceship touching hands in a way reminiscent of Michelangelo's ""Creation of Adam.""",,,,,,,,,,,Michael Whelan,,,clothing; souvenirs; illustrations; MosCon III,science fiction; authors; artists,shirt-moscon-III,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Cloth t-shirt,image,image/jpg,eng
moscon06-1984_001,moscon06-1984_001.jpg,MosCon VI T-Shirt,MosCon VI T-Shirt,1984,September 21-23,"The official MosCon VI shirt, featuring an image of a large lobster being boiled in a tub. Beneath the image reads ""I got boiled at Moscon six.""",,,,,,,,,,,Bill Warren,,,clothing; souvenirs; illustrations; MosCon VI; Jacuzzi Party,science fiction; authors; artists,shirt-moscon-VI,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Cloth t-shirt,image,image/jpg,eng
moscon16-1994_001,moscon16-1994_001.jpg,MosCon XVI T-Shirt,MosCon XVI T-Shirt,1994,September 14-16,"The official MosCon XVI shirt, depicting a man in a cape riding a horse in front of a castle. The shirt was manufactured by Chameleon Products in Moscow, ID, and was screenprinted using thermochromatic ink that changed color based on temperature.",,,,,,,,,,,,,,clothing; souvenirs; illustrations; MosCon XVI,science fiction; authors; artists,shirt-moscon-XVI,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Cloth t-shirt,image,image/jpg,eng
moscon05-1983_001,moscon05-1983_001.jpg,Towel - Don't Panic MosCon,Towel - Don't Panic MosCon,1983,September 23-25,"A large, blue towel with text reading ""DON'T PANIC MOSCON"" and an image of ""The Cosmic Cutie"" from Douglas Adams' The Hitchhiker's Guide to the Universe. An image of Leonard Nimoy holding this towel up at MosCon V can be found on page 10 of the MosCon VI booklet.",,,,,,,,,,,Bill Warren,,,towels; souvenirs; illustrations; Hitchhiker's Guide to the Galaxy; MosCon V; Leonard Nimoy,science fiction; authors; artists,towel-dont-panic,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Cloth towel,image,image/jpg,eng
moscon05-1983_002,moscon05-1983_002.jpg,Towel - Fannish Armada,Towel - Fannish Armada,1983,September 23-25,"A yellow towel with a circle bordering an image of a sailor in a crow's nest holding a hand held telescope with clouds in the background. The clouds pass out of the border slightly and the text ""Moscon 5"" is in the lower right corner of the circle. The image separates the bold, black, scrawly text stating ""The Fannish Armada,"" with ""The Fannish"" on top and ""Armada"" on the bottom. ",,,,,,,,,,,Bill Warren,,,towels; souvenirs; illustrations; MosCon V,science fiction; authors; artists,towel-fannish-armada,"Moscow, ID",Moscon Programs Collection,University of Idaho Special Collections,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Cloth towel,image,image/jpg,eng
